Bracteacoccaceae;chlorophytes
Chlamydomonadaceae;chlorophytes
Dunaliellaceae;chlorophytes
Haematococcaceae;chlorophytes
Hydrodictyaceae;chlorophytes
Oedogoniaceae;chlorophytes
Scenedesmaceae;chlorophytes
Selenastraceae;chlorophytes
Chloropicaceae;chlorophytes
Bathycoccaceae;chlorophytes
Crustomastigaceae;chlorophytes
Mamiellaceae;chlorophytes
Nephroselmidaceae;chlorophytes
Prasinococcaceae;chlorophytes
Picocystaceae;chlorophytes
Pleurastraceae;chlorophytes
Pycnococcaceae;chlorophytes
Pyramimonadaceae;chlorophytes
Chlorellaceae;chlorophytes
Koliellaceae;chlorophytes
Oocystaceae;chlorophytes
Prasiolaceae;chlorophytes
Trebouxiaceae;chlorophytes
Bolbocoleonaceae;chlorophytes
Bryopsidaceae;chlorophytes
Chlorocystidaceae;chlorophytes
Oltmannsiellopsidaceae;chlorophytes
Calanidae;crustaceous zooplankton
Eucalanidae;crustaceous zooplankton
Metridinidae;crustaceous zooplankton
Temoridae;crustaceous zooplankton
Euphausiidae;crustaceous zooplankton
Alepocephalidae;fish/nekton
Apogonidae;fish/nekton
Bathylagidae;fish/nekton
Ceratiidae;fish/nekton
Clupeidae;fish/nekton
Cyclopteridae;fish/nekton
Cyprinidae;fish/nekton
Echeneidae;fish/nekton
Gasterosteidae;fish/nekton
Gobiidae;fish/nekton
Gonostomatidae;fish/nekton
Lateolabracidae;fish/nekton
Microstomatidae;fish/nekton
Myctophidae;fish/nekton
Osmeridae;fish/nekton
Salmonidae;fish/nekton
Rhincodontidae;fish/nekton
Petromyzontidae;fish/nekton
Loliginidae;fish/nekton
Oikopleuridae;gelatinous zooplankton
Salpidae;gelatinous zooplankton
Eirenidae;gelatinous zooplankton
Cyaneidae;gelatinous zooplankton
Pelagiidae;gelatinous zooplankton
Ulmaridae;gelatinous zooplankton
Apusomonadidae;heterotrophic protists
Paulinellidae;heterotrophic protists
Thaumatomastigidae;heterotrophic protists
Fonticulaceae;heterotrophic protists
Metopidae;heterotrophic protists
Parameciidae;heterotrophic protists
Tetrahymenidae;heterotrophic protists
Euplotidae;heterotrophic protists
Oxytrichidae;heterotrophic protists
Chroomonadaceae;heterotrophic protists
Geminigeraceae;heterotrophic protists
Hemiselmidaceae;heterotrophic protists
Diplonemidae;heterotrophic protists
Euglenaceae;heterotrophic protists
Phacaceae;heterotrophic protists
Globorotaliidae;heterotrophic protists
Rotaliidae;heterotrophic protists
Sticholonchidae;heterotrophic protists
Histionidae;heterotrophic protists
Jakobidae;heterotrophic protists
Hexamitidae;heterotrophic protists
Perkinsidae;heterotrophic protists
Vahlkampfiidae;heterotrophic protists
Sphaerozoidae;heterotrophic protists
Hypotrichomonadidae;heterotrophic protists
Salpingoecidae;heterotrophic protists
Collosphaeridae;heterotrophic protists
Balaenopteridae;mammals
Delphinidae;mammals
Monodontidae;mammals
Mustelidae;mammals
Odobenidae;mammals
Otariidae;mammals
Phocidae;mammals
Phocoenidae;mammals
Physeteridae;mammals
Chlorobiaceae;phototrophic bacteria
Chloroflexaceae;phototrophic bacteria
Roseiflexaceae;phototrophic bacteria
Acaryochloridaceae;phototrophic bacteria
Aphanizomenonaceae;phototrophic bacteria
Aphanothecaceae;phototrophic bacteria
Calotrichaceae;phototrophic bacteria
Chamaesiphonaceae;phototrophic bacteria
Chroococcaceae;phototrophic bacteria
Chroococcidiopsidaceae;phototrophic bacteria
Coleofasciculaceae;phototrophic bacteria
Cyanothecaceae;phototrophic bacteria
Dermocarpellaceae;phototrophic bacteria
Gloeobacteraceae;phototrophic bacteria
Gloeomargaritaceae;phototrophic bacteria
Gomontiellaceae;phototrophic bacteria
Hapalosiphonaceae;phototrophic bacteria
Leptolyngbyaceae;phototrophic bacteria
Merismopediaceae;phototrophic bacteria
Microcoleaceae;phototrophic bacteria
Nostocaceae;phototrophic bacteria
Oscillatoriaceae;phototrophic bacteria
Prochloraceae;phototrophic bacteria
Prochlorotrichaceae;phototrophic bacteria
Pseudanabaenaceae;phototrophic bacteria
Rivulariaceae;phototrophic bacteria
Scytonemataceae;phototrophic bacteria
Synechococcaceae;phototrophic bacteria
Hyellaceae;phototrophic bacteria
Heliobacteriaceae;phototrophic bacteria
Thraustochytriaceae;phototrophic protists
Noelaerhabdaceae;phototrophic protists
Amoebophryaceae;phototrophic protists
Gonyaulacaceae;phototrophic protists
Gymnodiniaceae;phototrophic protists
Heterocapsaceae;phototrophic protists
Kareniaceae;phototrophic protists
Kryptoperidiniaceae;phototrophic protists
Pfiesteriaceae;phototrophic protists
Prorocentraceae;phototrophic protists
Protoperidiniaceae;phototrophic protists
Suessiaceae;phototrophic protists
Syndiniaceae;phototrophic protists
Acanthocerataceae;phototrophic protists
Amphipleuraceae;phototrophic protists
Anaulaceae;phototrophic protists
Anomoeoneidaceae;phototrophic protists
Attheyaceae;phototrophic protists
Bacillariaceae;phototrophic protists
Berkeleyaceae;phototrophic protists
Biddulphiaceae;phototrophic protists
Chaetocerotaceae;phototrophic protists
Coscinodiscaceae;phototrophic protists
Cymatosiraceae;phototrophic protists
Entomoneidaceae;phototrophic protists
Eunotiaceae;phototrophic protists
Fragilariaceae;phototrophic protists
Gomphonemataceae;phototrophic protists
Hemiaulaceae;phototrophic protists
Hemidiscaceae;phototrophic protists
Leptocylindraceae;phototrophic protists
Licmophoraceae;phototrophic protists
Lithodesmiaceae;phototrophic protists
Naviculaceae;phototrophic protists
Phaeodactylaceae;phototrophic protists
Plagiogrammaceae;phototrophic protists
Rhizosoleniaceae;phototrophic protists
Skeletonemataceae;phototrophic protists
Stephanodiscaceae;phototrophic protists
Thalassiosiraceae;phototrophic protists
Toxariaceae;phototrophic protists
Triceratiaceae;phototrophic protists
Ulnariaceae;phototrophic protists
Chromulinaceae;phototrophic protists
Chrysolepidomonadaceae;phototrophic protists
Staurosiraceae;phototrophic protists
Cyanophoraceae;phototrophic protists
Pavlovaceae;phototrophic protists
Chrysochromulinaceae;phototrophic protists
Phaeocystaceae;phototrophic protists
Hymenomonadaceae;phototrophic protists
Triparmaceae;phototrophic protists
Pinguiochrysidaceae;phototrophic protists
Eustigmataceae;phototrophic protists
Monodopsidaceae;phototrophic protists
Chattonellaceae;phototrophic protists
Mallomonadaceae;phototrophic protists
Cyanidiaceae;red algae
Acytosteliaceae;slime mold
Cavenderiaceae;slime mold
Characeae;streptophytes
Klebsormidiaceae;streptophytes
Closteriaceae;streptophytes
Desmidiaceae;streptophytes
Mesotaeniaceae;streptophytes
Zygnemataceae;streptophytes
Cirratulidae;sessile/sedimentary benthos
Polynoidae;mobile benthos
Terebellidae;sessile/sedimentary benthos
Daphniidae;crustaceans
Aegisthidae;crustaceans
Harpacticidae;crustaceans
Tetragonicipitidae;crustaceans
Gecarcinidae;crustaceans
Hyalellidae;crustaceans
Lysianassidae;crustaceans
Parastacidae;crustaceans
Penaeidae;crustaceans
Portunidae;crustaceans
Limulidae;crustaceans
Acinetosporaceae;brown algae
Lingulidae;sessile/sedimentary benthos
Gromiidae;heterotrophic protists
Codiaceae;chlorophytes
Derbesiaceae;chlorophytes
Halimedaceae;chlorophytes
Ostreobiaceae;chlorophytes
Polyphysaceae;chlorophytes
Ulvaceae;chlorophytes
Acipenseridae;demersal fish
Ammodytidae;demersal fish
Anarhichadidae;demersal fish
Anoplopomatidae;demersal fish
Batrachoididae;demersal fish
Blenniidae;demersal fish
Cottidae;demersal fish
Cynoglossidae;demersal fish
Gadidae;demersal fish
Liparidae;demersal fish
Oreosomatidae;demersal fish
Paralichthyidae;demersal fish
Pleuronectidae;demersal fish
Sebastidae;demersal fish
Sparidae;demersal fish
Syngnathidae;demersal fish
Zoarcidae;demersal fish
Cionidae;sessile/sedimentary benthos
Pyuridae;sessile/sedimentary benthos
