Age [ka BP]	δ18O H2O [‰ SMOW]
-0.05	-35.19
0.00	-35.19
0.00	-34.83
0.05	-34.83
0.05	-35.05
0.10	-35.05
0.10	-35.45
0.15	-35.45
0.15	-35.42
0.20	-35.42
0.20	-35.63
0.25	-35.63
0.25	-35.80
0.30	-35.80
0.30	-35.62
0.35	-35.62
0.35	-35.48
0.40	-35.48
0.40	-35.36
0.45	-35.36
0.45	-35.41
0.50	-35.41
0.50	-35.10
0.55	-35.10
0.55	-35.27
0.60	-35.27
0.60	-35.67
0.65	-35.67
0.65	-35.33
0.70	-35.33
0.70	-35.38
0.75	-35.38
0.75	-35.63
0.80	-35.63
0.80	-35.49
0.85	-35.49
0.85	-35.30
0.90	-35.30
0.90	-35.66
0.95	-35.66
0.95	-35.01
1.00	-35.01
1.00	-35.09
1.05	-35.09
1.05	-35.58
1.10	-35.58
1.10	-35.51
1.15	-35.51
1.15	-35.34
1.20	-35.34
1.20	-35.27
1.25	-35.27
1.25	-35.26
1.30	-35.26
1.30	-35.09
1.35	-35.09
1.35	-35.20
1.40	-35.20
1.40	-35.09
1.45	-35.09
1.45	-35.68
1.50	-35.68
1.50	-35.42
1.55	-35.42
1.55	-34.84
1.60	-34.84
1.60	-35.68
1.65	-35.68
1.65	-35.22
1.70	-35.22
1.70	-35.72
1.75	-35.72
1.75	-35.43
1.80	-35.43
1.80	-35.19
1.85	-35.19
1.85	-34.66
1.90	-34.66
1.90	-35.03
1.95	-35.03
1.95	-35.00
2.00	-35.00
2.00	-35.12
2.05	-35.12
2.05	-35.19
2.10	-35.19
2.10	-35.60
2.15	-35.60
2.15	-35.33
2.20	-35.33
2.20	-34.77
2.25	-34.77
2.25	-34.99
2.30	-34.99
2.30	-35.10
2.35	-35.10
2.35	-34.93
2.40	-34.93
2.40	-35.65
2.45	-35.65
2.45	-35.25
2.50	-35.25
2.50	-35.11
2.55	-35.11
2.55	-35.29
2.60	-35.29
2.60	-35.32
2.65	-35.32
2.65	-35.19
2.70	-35.19
2.70	-34.86
2.75	-34.86
2.75	-34.96
2.80	-34.96
2.80	-35.14
2.85	-35.14
2.85	-35.03
2.90	-35.03
2.90	-34.64
2.95	-34.64
2.95	-34.98
3.00	-34.98
3.00	-35.19
3.05	-35.19
3.05	-34.91
3.10	-34.91
3.10	-35.02
3.15	-35.02
3.15	-35.17
3.20	-35.17
3.20	-35.08
3.25	-35.08
3.25	-35.15
3.30	-35.15
3.30	-34.91
3.35	-34.91
3.35	-34.81
3.40	-34.81
3.40	-35.07
3.45	-35.07
3.45	-35.00
3.50	-35.00
3.50	-34.96
3.55	-34.96
3.55	-35.13
3.60	-35.13
3.60	-34.49
3.65	-34.49
3.65	-34.63
3.70	-34.63
3.70	-35.06
3.75	-35.06
3.75	-35.05
3.80	-35.05
3.80	-35.21
3.85	-35.21
3.85	-35.11
3.90	-35.11
3.90	-35.07
3.95	-35.07
3.95	-34.73
4.00	-34.73
4.00	-35.02
4.05	-35.02
4.05	-35.25
4.10	-35.25
4.10	-34.96
4.15	-34.96
4.15	-34.65
4.20	-34.65
4.20	-35.19
4.25	-35.19
4.25	-34.65
4.30	-34.65
4.30	-35.10
4.35	-35.10
4.35	-34.99
4.40	-34.99
4.40	-34.65
4.45	-34.65
4.45	-35.00
4.50	-35.00
