"Acanthasteridae";"Acanthocerataceae";"Acaryochloridaceae";"Acinetosporaceae";"Acipenseridae";"Acrochaetiaceae";"Acroporidae";"Actiniidae";"Acytosteliaceae";"Aegisthidae";"Agaraceae";"Aiptasiidae";"Alariaceae";"Alepocephalidae";"Ammodytidae";"Amoebophryaceae";"Amphipleuraceae";"Anarhichadidae";"Anaulaceae";"Anomoeoneidaceae";"Anoplopomatidae";"Aphanizomenonaceae";"Aphanothecaceae";"Aplysiidae";"Apogonidae";"Apusomonadidae";"Arcidae";"Areschougiaceae";"Asteriidae";"Attheyaceae";"Bacillariaceae";"Balaenopteridae";"Bangiaceae";"Bathycoccaceae";"Bathylagidae";"Batrachoididae";"Batrachospermaceae";"Berkeleyaceae";"Biddulphiaceae";"Blenniidae";"Bolbocoleonaceae";"Bonnemaisoniaceae";"Bracteacoccaceae";"Bryopsidaceae";"Calanidae";"Calotrichaceae";"Campanulariidae";"Cavenderiaceae";"Ceramiaceae";"Ceratiidae";"Chaetocerotaceae";"Chamaesiphonaceae";"Characeae";"Chattonellaceae";"Chlamydomonadaceae";"Chlorellaceae";"Chlorobiaceae";"Chlorocystidaceae";"Chloroflexaceae";"Chloropicaceae";"Chromulinaceae";"Chroococcaceae";"Chroococcidiopsidaceae";"Chroomonadaceae";"Chrysochromulinaceae";"Chrysolepidomonadaceae";"Cionidae";"Cirratulidae";"Closteriaceae";"Clupeidae";"Codiaceae";"Coleofasciculaceae";"Collosphaeridae";"Corallinaceae";"Coscinodiscaceae";"Cottidae";"Crustomastigaceae";"Cyaneidae";"Cyanidiaceae";"Cyanophoraceae";"Cyanothecaceae";"Cyclopteridae";"Cymatosiraceae";"Cynoglossidae";"Cyprinidae";"Daphniidae";"Dasyaceae";"Delesseriaceae";"Delphinidae";"Derbesiaceae";"Dermocarpellaceae";"Desmidiaceae";"Dictyotaceae";"Diplonemidae";"Dugesiidae";"Dunaliellaceae";"Echeneidae";"Ectocarpaceae";"Edwardsiidae";"Eirenidae";"Entomoneidaceae";"Eucalanidae";"Euglenaceae";"Eunotiaceae";"Euphausiidae";"Euplotidae";"Eustigmataceae";"Fonticulaceae";"Fragilariaceae";"Fucaceae";"Gadidae";"Gasterosteidae";"Gecarcinidae";"Gelidiaceae";"Geminigeraceae";"Gigartinaceae";"Globorotaliidae";"Gloeobacteraceae";"Gloeomargaritaceae";"Gobiidae";"Gomontiellaceae";"Gomphonemataceae";"Gonostomatidae";"Gonyaulacaceae";"Gracilariaceae";"Gromiidae";"Gymnodiniaceae";"Haematococcaceae";"Halimedaceae";"Haliotidae";"Halymeniaceae";"Hapalidiaceae";"Hapalosiphonaceae";"Harpacticidae";"Heliobacteriaceae";"Hemiaulaceae";"Hemidiscaceae";"Hemiselmidaceae";"Heterocapsaceae";"Hexamitidae";"Hildenbrandiaceae";"Histionidae";"Hyalellidae";"Hydridae";"Hydrodictyaceae";"Hyellaceae";"Hymenomonadaceae";"Hypneaceae";"Hypotrichomonadidae";"Jakobidae";"Kallymeniaceae";"Kareniaceae";"Klebsormidiaceae";"Koliellaceae";"Kryptoperidiniaceae";"Laminariaceae";"Lateolabracidae";"Leptocylindraceae";"Leptolyngbyaceae";"Liagoraceae";"Licmophoraceae";"Limulidae";"Lingulidae";"Liparidae";"Lithodesmiaceae";"Loliginidae";"Lottiidae";"Lysianassidae";"Mallomonadaceae";"Mamiellaceae";"Merismopediaceae";"Merulinidae";"Mesotaeniaceae";"Metopidae";"Metridinidae";"Microcoleaceae";"Microstomatidae";"Monodontidae";"Monodopsidaceae";"Mustelidae";"Myctophidae";"Mytilidae";"Myxinidae";"Naviculaceae";"Nephroselmidaceae";"Nephtheidae";"Niphatidae";"Noelaerhabdaceae";"Nostocaceae";"Octopodidae";"Odobenidae";"Oedogoniaceae";"Oikopleuridae";"Oltmannsiellopsidaceae";"Oocystaceae";"Oreosomatidae";"Oscillatoriaceae";"Osmeridae";"Ostreidae";"Ostreobiaceae";"Otariidae";"Oxystominidae";"Oxytrichidae";"Palmariaceae";"Paralichthyidae";"Parameciidae";"Parastacidae";"Paulinellidae";"Pavlovaceae";"Pectinidae";"Pelagiidae";"Penaeidae";"Perkinsidae";"Petromyzontidae";"Pfiesteriaceae";"Phacaceae";"Phaeocystaceae";"Phaeodactylaceae";"Phocidae";"Phocoenidae";"Phyllophoraceae";"Physeteridae";"Picocystaceae";"Pinguiochrysidaceae";"Plagiogrammaceae";"Pleurastraceae";"Pleuronectidae";"Pocilloporidae";"Polynoidae";"Polyphysaceae";"Porphyridiaceae";"Portunidae";"Prasinococcaceae";"Prasiolaceae";"Priapulidae";"Prochloraceae";"Prochlorotrichaceae";"Prorocentraceae";"Protoperidiniaceae";"Provannidae";"Pseudanabaenaceae";"Pteriidae";"Pycnococcaceae";"Pyramimonadaceae";"Pyuridae";"Rajidae";"Rhincodontidae";"Rhizosoleniaceae";"Rhodogorgonaceae";"Rhodomelaceae";"Rhodymeniaceae";"Rivulariaceae";"Roseiflexaceae";"Rotaliidae";"Saccosporidae";"Salmonidae";"Salpidae";"Salpingoecidae";"Sargassaceae";"Scenedesmaceae";"Scytonemataceae";"Scytosiphonaceae";"Sebastidae";"Selenastraceae";"Skeletonemataceae";"Solieriaceae";"Sparidae";"Sphaerozoidae";"Spyridiaceae";"Staurosiraceae";"Stephanodiscaceae";"Sticholonchidae";"Strongylocentrotidae";"Styelidae";"Suessiaceae";"Syndiniaceae";"Synechococcaceae";"Syngnathidae";"Temoridae";"Terebellidae";"Tetragonicipitidae";"Tetrahymenidae";"Thalassiosiraceae";"Thaumatomastigidae";"Thraustochytriaceae";"Toxariaceae";"Trebouxiaceae";"Triceratiaceae";"Triparmaceae";"Ulmaridae";"Ulnariaceae";"Ulvaceae";"Vahlkampfiidae";"Wrangeliaceae";"Zoarcidae";"Zosteraceae";"Zygnemataceae"
"Acanthasteridae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.294647072745099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.304799378455907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.301138019547286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.313653949857592;0;0.302921904253527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Acanthocerataceae";0;0;0;0;0;0;0;0;0;0;0;0.321397873418248;0;0;0;0;0.327062399099791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.307279752727339;0;0;0;0;0;0;0;0;0.345115677474068;0;0;0.456009361473224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.338220991487535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38008495220148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.308952433171359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.294014109262738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Acaryochloridaceae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.350841258632418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.391076812635542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.298498181445959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.294192050117749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Acinetosporaceae";0;0;0;0;0;0;0;0;0;0;0;0;0;0.330470391088699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30903625054577;0;0;0;0;0;0.36811116559898;0;0;0;0;0;0;0;0;0;0;0;0.308591049220669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.29349928468722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.293482413030644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.321157433117284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Acipenseridae";0;0;0;0;0;0;0;0;0;0;0;0.323004762916606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.356557105161253;0;0;0.295272656778811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.297513677670386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.329594853222987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.346988947159155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.352803210881974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Acrochaetiaceae";0;0;0;0;0;0;0;0;0;0;0;0;0;0.316876040757592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.315934972546633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.307539235323593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.294622582981788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.328528792535233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.294428637447131;0;0
"Acroporidae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.277298159775694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.281257063219727;0;0;0;0;0;0;0.295545032852216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.307411601309407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.308831134785679;0;0;0;0;0;0;0;0;0;0;0;0;0.295037624896075;0;0;0;0;0;0;0;0;0;0;0;0.33076552836707;0;0.281438515380068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Actiniidae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.293872813073821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.294151369885427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.400242764944856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Acytosteliaceae";0;0;0;0;0;0;0;0;0;0;0;0.303408457908947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2987885882539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.313889187355241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31485282583382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.292012523859846;0;0;0;0;0;0;0;0.308808774918219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aegisthidae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.428863126496662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.339951377510435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.366235265255829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
