"v1";"v2";"asso";"diss";"adja"
"1";"Acanthasteridae";"Characeae";0.00495449602588544;0.705352927254901;0.294647072745099
"2";"Acanthasteridae";"Hapalidiaceae";0.0333921916094147;0.695200621544093;0.304799378455907
"3";"Acanthasteridae";"Kallymeniaceae";0.0231838645554221;0.698861980452714;0.301138019547286
"4";"Acanthasteridae";"Rhodogorgonaceae";0.0578581989078291;0.686346050142408;0.313653949857592
"5";"Acanthasteridae";"Rhodymeniaceae";0.0281642568609421;0.697078095746473;0.302921904253527
"6";"Acanthocerataceae";"Aiptasiidae";0.0789983075974472;0.678602126581752;0.321397873418248
"7";"Acanthocerataceae";"Amphipleuraceae";0.0943099705893418;0.672937600900209;0.327062399099791
"8";"Acanthocerataceae";"Biddulphiaceae";0.0402773180370066;0.692720247272661;0.307279752727339
"9";"Acanthocerataceae";"Cavenderiaceae";0.142253048219502;0.654884322525932;0.345115677474068
"10";"Acanthocerataceae";"Chaetocerotaceae";0.408148370390462;0.543990638526776;0.456009361473224
"11";"Acanthocerataceae";"Cymatosiraceae";0.124097087784518;0.661779008512465;0.338220991487535
"12";"Acanthocerataceae";"Hemiaulaceae";0.231410667025918;0.61991504779852;0.38008495220148
"13";"Acanthocerataceae";"Lithodesmiaceae";0.0449065207604301;0.691047566828641;0.308952433171359
"14";"Acanthocerataceae";"Rhizosoleniaceae";0.00316784415982851;0.705985890737262;0.294014109262738
"15";"Acaryochloridaceae";"Gloeomargaritaceae";0.157185857012114;0.649158741367582;0.350841258632418
"16";"Acaryochloridaceae";"Hypneaceae";0.258425103779818;0.608923187364458;0.391076812635542
"17";"Acaryochloridaceae";"Merismopediaceae";0.0157903971307453;0.701501818554041;0.298498181445959
"18";"Acaryochloridaceae";"Protoperidiniaceae";0.00367027576602694;0.705807949882251;0.294192050117749
"19";"Acinetosporaceae";"Alepocephalidae";0.10346020558216;0.669529608911301;0.330470391088699
"20";"Acinetosporaceae";"Campanulariidae";0.0451381938803037;0.69096374945423;0.30903625054577
"21";"Acinetosporaceae";"Characeae";0.201433001918642;0.63188883440102;0.36811116559898
"22";"Acinetosporaceae";"Chrysochromulinaceae";0.0439073255644504;0.691408950779331;0.308591049220669
"23";"Acinetosporaceae";"Ectocarpaceae";0.0017134785250611;0.70650071531278;0.29349928468722
"24";"Acinetosporaceae";"Hapalidiaceae";0.00166579860599755;0.706517586969356;0.293482413030644
"25";"Acinetosporaceae";"Scytosiphonaceae";0.0783455387761713;0.678842566882716;0.321157433117284
"26";"Acipenseridae";"Aiptasiidae";0.0833548979327983;0.676995237083394;0.323004762916606
"27";"Acipenseridae";"Cavenderiaceae";0.171962482163067;0.643442894838747;0.356557105161253
"28";"Acipenseridae";"Chaetocerotaceae";0.00671874343281009;0.704727343221189;0.295272656778811
"29";"Acipenseridae";"Gasterosteidae";0.0130259338796276;0.702486322329614;0.297513677670386
"30";"Acipenseridae";"Hyalellidae";0.101113878349784;0.670405146777013;0.329594853222987
"31";"Acipenseridae";"Microcoleaceae";0.147153129735382;0.653011052840845;0.346988947159155
"32";"Acipenseridae";"Prochlorotrichaceae";0.162272632310636;0.647196789118026;0.352803210881974
"33";"Acrochaetiaceae";"Alepocephalidae";0.0666833126179542;0.683123959242408;0.316876040757592
"34";"Acrochaetiaceae";"Campanulariidae";0.0641100764304473;0.684065027453367;0.315934972546633
"35";"Acrochaetiaceae";"Cottidae";0.0409961787675318;0.692460764676407;0.307539235323593
"36";"Acrochaetiaceae";"Klebsormidiaceae";0.00488539912143043;0.705377417018212;0.294622582981788
"37";"Acrochaetiaceae";"Polynoidae";0.0982528350916164;0.671471207464767;0.328528792535233
"38";"Acrochaetiaceae";"Zoarcidae";0.00433810469057458;0.705571362552869;0.294428637447131
"39";"Acroporidae";"Attheyaceae";-0.0445958997271977;0.722701840224306;0.277298159775694
"40";"Acroporidae";"Kareniaceae";-0.0331828183430636;0.718742936780273;0.281257063219727
"41";"Acroporidae";"Leptolyngbyaceae";0.00748639852162908;0.704454967147784;0.295545032852216
"42";"Acroporidae";"Prochloraceae";0.0406426199983998;0.692588398690593;0.307411601309407
"43";"Acroporidae";"Roseiflexaceae";0.0445711995166951;0.691168865214321;0.308831134785679
"44";"Acroporidae";"Solieriaceae";0.00605609937566712;0.704962375103925;0.295037624896075
"45";"Acroporidae";"Syngnathidae";0.104250443956385;0.66923447163293;0.33076552836707
"46";"Acroporidae";"Terebellidae";-0.0326612143584004;0.718561484619932;0.281438515380068
"47";"Actiniidae";"Chloropicaceae";0.00276879176744324;0.706127186926179;0.293872813073821
"48";"Actiniidae";"Echeneidae";0.00355542273076098;0.705848630114573;0.294151369885427
"49";"Actiniidae";"Tetragonicipitidae";0.280582517998018;0.599757235055144;0.400242764944856
"50";"Acytosteliaceae";"Aiptasiidae";0.0295204469744169;0.696591542091053;0.303408457908947
"51";"Acytosteliaceae";"Bryopsidaceae";0.0166051120740816;0.7012114117461;0.2987885882539
"52";"Acytosteliaceae";"Cyanothecaceae";0.0585039055438975;0.686110812644759;0.313889187355241
"53";"Acytosteliaceae";"Euglenaceae";0.0611466994641956;0.68514717416618;0.31485282583382
"54";"Acytosteliaceae";"Polynoidae";-0.00249253274261058;0.707987476140154;0.292012523859846
"55";"Acytosteliaceae";"Prochlorotrichaceae";0.044509380739894;0.691191225081781;0.308808774918219
"56";"Aegisthidae";"Chrysolepidomonadaceae";0.347605343449664;0.571136873503338;0.428863126496662
"57";"Aegisthidae";"Haliotidae";0.128671631899256;0.660048622489565;0.339951377510435
"58";"Aegisthidae";"Tetragonicipitidae";0.1966845219893;0.633764734744171;0.366235265255829
"59";"Agaraceae";"Amoebophryaceae";0.0337133321002536;0.695085127124637;0.304914872875363
"60";"Agaraceae";"Anoplopomatidae";0.0182733222215836;0.7006163992437;0.2993836007563
"61";"Agaraceae";"Batrachospermaceae";0.0986304143805216;0.671330613639613;0.328669386360387
"62";"Agaraceae";"Derbesiaceae";0.201718624566138;0.631775820775796;0.368224179224204
"63";"Agaraceae";"Liparidae";0.0259996517865329;0.697853977639114;0.302146022360886
"64";"Agaraceae";"Salpingoecidae";-0.00119988242887664;0.707530876509597;0.292469123490403
"65";"Agaraceae";"Terebellidae";0.0411618672850379;0.69240094335398;0.30759905664602
"66";"Agaraceae";"Thraustochytriaceae";0.00417651669709618;0.705628614535615;0.294371385464385
"67";"Aiptasiidae";"Hyalellidae";0.089533572762923;0.674709725451278;0.325290274548722
"68";"Aiptasiidae";"Niphatidae";0.0841303906580881;0.676708803453122;0.323291196546878
"69";"Aiptasiidae";"Prochlorotrichaceae";0.0215506209083443;0.699445987582907;0.300554012417093
"70";"Alariaceae";"Fucaceae";0.0468992133855101;0.690326294810827;0.309673705189173
"71";"Alariaceae";"Gromiidae";0.0132068333648118;0.702421941084982;0.297578058915018
"72";"Alariaceae";"Hemidiscaceae";0.0334082682403514;0.695194840228137;0.304805159771863
"73";"Alariaceae";"Laminariaceae";0.318952276211581;0.583544224454505;0.416455775545495
"74";"Alariaceae";"Mallomonadaceae";0.0517064626024834;0.688583160336323;0.311416839663677
"75";"Alariaceae";"Pocilloporidae";-0.0165745333120451;0.712942681185537;0.287057318814463
"76";"Alariaceae";"Pyramimonadaceae";0.0044535330751998;0.705530462462394;0.294469537537606
"77";"Alariaceae";"Rotaliidae";0.00368479664497529;0.705802806510085;0.294197193489915
"78";"Alepocephalidae";"Anoplopomatidae";0.367530314611485;0.56234761731002;0.43765238268998
"79";"Alepocephalidae";"Ceratiidae";0.158217925498568;0.648761155781321;0.351238844218679
"80";"Alepocephalidae";"Chlorocystidaceae";0.0749822239100988;0.680080060025987;0.319919939974013
"81";"Alepocephalidae";"Cottidae";0.104799960249791;0.6690291622008;0.3309708377992
"82";"Alepocephalidae";"Gadidae";0.0470608019209251;0.690267773432555;0.309732226567445
"83";"Alepocephalidae";"Gonostomatidae";0.12548207516093;0.661255595378622;0.338744404621378
"84";"Alepocephalidae";"Gromiidae";0.0381436644401834;0.693489846919123;0.306510153080877
