,0
0,20
1,17
2,15
3,12
4,17
5,14
6,11
7,12
8,18
9,19
10,15
11,16
12,16
13,16
14,12
15,21
16,14
17,16
18,19
19,11
20,16
21,13
22,14
23,15
24,16
25,13
26,15
27,15
28,13
29,14
30,15
31,10
32,15
33,13
34,13
35,20
36,14
37,11
38,16
39,14
40,18
41,17
42,20
43,17
44,17
45,9
46,14
47,16
48,12
49,16
50,16
51,16
52,15
53,14
54,14
55,15
56,14
57,15
58,16
59,18
60,13
61,14
62,16
63,13
64,15
65,15
66,10
67,16
68,14
69,14
70,14
71,14
72,19
73,12
74,14
75,13
76,13
77,16
78,10
79,16
80,9
81,12
82,16
83,18
84,8
85,17
86,15
87,20
88,24
89,12
90,15
91,8
92,17
93,22
94,14
95,15
96,9
97,12
98,10
99,24
