,1,2,3,4
0,3,18,75,24
1,0,29,85,0
2,2,17,81,8
3,1,6,125,4
4,3,10,61,57
5,0,11,97,11
6,0,8,19,7
7,1,13,21,21
8,1,38,120,7
9,5,68,89,1
10,2,72,25,14
11,0,39,79,72
12,1,13,89,13
13,3,27,98,2
14,0,23,136,11
15,1,15,94,4
16,3,7,112,1
17,0,10,102,5
18,1,11,49,19
19,0,4,81,3
20,0,19,52,0
21,0,17,78,0
22,0,12,47,1
23,3,31,67,7
24,4,26,34,6
25,2,46,45,15
26,0,43,13,47
27,0,27,43,58
28,0,28,81,24
29,1,23,23,4
30,1,43,117,2
31,0,6,19,2
32,0,23,29,10
33,1,47,21,38
34,0,27,14,5
35,0,15,27,16
36,1,33,70,1
37,3,7,45,5
38,1,63,89,3
39,3,18,29,16
40,0,23,37,27
41,2,44,63,1
42,6,56,21,37
43,2,4,69,3
44,4,15,80,29
45,0,3,24,0
46,0,34,64,22
47,5,4,55,76
48,1,9,21,4
49,0,42,39,42
50,2,38,106,4
51,0,23,99,0
52,0,8,39,32
53,0,25,42,18
54,1,17,63,4
55,1,24,60,1
56,0,30,62,2
57,0,18,58,16
58,0,56,81,60
59,2,25,42,40
60,5,21,67,0
61,2,15,45,68
62,1,12,60,1
63,0,19,37,0
64,1,7,104,2
65,4,9,65,7
66,1,0,32,58
67,0,14,25,20
68,3,15,20,11
69,1,2,48,0
70,2,19,72,0
71,0,30,40,3
72,5,20,122,4
73,0,60,19,9
74,0,33,62,40
75,3,47,8,29
76,0,10,35,7
77,0,4,123,20
78,0,15,8,4
79,0,42,123,28
80,0,57,27,2
81,2,2,21,23
82,3,63,57,0
83,0,44,115,41
84,0,16,39,0
85,2,21,19,4
86,2,9,85,0
87,1,14,128,15
88,2,32,44,14
89,0,6,44,43
90,1,25,52,7
91,0,23,41,0
92,0,21,39,33
93,3,49,38,48
94,0,6,56,6
95,1,2,84,3
96,0,39,28,1
97,0,8,47,9
98,0,1,93,31
99,5,37,61,79
