;module;degree_centrality;betweenness_centrality;keystonness
Calanidae;1.0;0.007805564279028469;0.004074094919165342;0.011879659198193811
Octopodidae;1.0;0.001250934609594968;0.0;0.001250934609594968
Mustelidae;1.0;0.06657925425016283;0.018660151529746725;0.08523940577990954
Paralichthyidae;1.0;0.005065995915914003;0.0;0.005065995915914003
Petromyzontidae;1.0;0.007418635602623234;0.010637250073869793;0.01805588567649303
Lateolabracidae;1.0;0.054529899872307774;0.06458645237577569;0.11911635224808347
Acroporidae;1.0;0.005065995915914003;0.0;0.005065995915914003
Apogonidae;1.0;0.03285290544189181;0.02324711643238187;0.05610002187427368
Tetragonicipitidae;1.0;0.005605950327534282;0.021130043665254932;0.026735993992789215
Cionidae;1.0;0.04478760975662578;0.04394837720800491;0.0887359869646307
Hapalosiphonaceae;1.0;0.03891933565332648;0.08605163957375123;0.1249709752270777
Gasterosteidae;1.0;0.009194244084182747;0.0;0.009194244084182747
Batrachoididae;1.0;0.047291955119920424;0.005316840376428676;0.0526087954963491
Salpingoecidae;1.0;0.011587767637853446;0.14511013626053504;0.15669790389838847
Sparidae;1.0;0.042746951616162744;0.02285141847438705;0.06559837009054979
Actiniidae;1.0;0.005062570543179799;0.0;0.005062570543179799
Monodontidae;1.0;0.014018023697186662;0.0702016676211495;0.08421969131833616
Aegisthidae;1.0;0.0009729683251574833;0.010637250073869793;0.011610218399027277
Nostocaceae;1.0;0.027659542045216052;0.0649339333964568;0.09259347544167285
Penaeidae;1.0;0.020535969933139085;0.03470447753763031;0.055240447470769394
Syngnathidae;1.0;0.030045968709740776;0.02117600709150005;0.05122197580124083
Blenniidae;1.0;0.1135431435026574;0.25404652981871545;0.3675896733213728
Chloropicaceae;1.0;0.011737865368725597;0.00837992511882003;0.020117790487545625
Cynoglossidae;1.0;0.01914332812519686;0.0;0.01914332812519686
Salmonidae;1.0;0.030746051935822874;0.01666314905751526;0.04740920099333813
Haliotidae;1.0;0.00016407579712535066;0.0;0.00016407579712535066
Echeneidae;1.0;0.01828668267279953;0.024972813828324517;0.043259496501124046
Collosphaeridae;2.0;0.02686995682435432;0.0;0.02686995682435432
Thalassiosiraceae;2.0;0.1463322842358225;0.007396742428260206;0.15372902666408272
Sphaerozoidae;2.0;0.15938825605716112;0.08959893952973363;0.24898719558689475
Lithodesmiaceae;2.0;0.12107242742440978;0.0004103877343313964;0.12148281515874118
Laminariaceae;2.0;0.029435466145598513;0.0;0.029435466145598513
Amoebophryaceae;2.0;0.03155831798000919;0.0;0.03155831798000919
Plagiogrammaceae;2.0;0.14155687633662561;0.005012419128197721;0.14656929546482333
Acanthocerataceae;2.0;0.11886424022839527;0.004570410028156508;0.12343465025655177
Naviculaceae;2.0;0.3337180002852139;0.05259816411098852;0.3863161643962024
Amphipleuraceae;2.0;0.2013676226879207;0.014274211374199207;0.2156418340621199
Triceratiaceae;2.0;0.10748658232625607;0.002197168372190534;0.1096837506984466
Aplysiidae;2.0;0.2706347173272178;0.015352874736279236;0.285987592063497
Staurosiraceae;2.0;0.14117986600365137;0.005390278161380303;0.14657014416503167
Hemidiscaceae;2.0;0.07709928398259575;0.0005333548227274221;0.07763263880532317
Kryptoperidiniaceae;2.0;0.12430067524012557;0.010905875805644632;0.1352065510457702
Toxariaceae;2.0;0.05067008699185894;0.0007633211858563972;0.051433408177715335
Rhizosoleniaceae;2.0;0.1369733014897943;0.011470554982078671;0.14844385647187297
Entomoneidaceae;2.0;0.1746073681341271;0.045676508122583205;0.2202838762567103
Biddulphiaceae;2.0;0.18720125106166466;0.04050619985920188;0.22770745092086653
Cymatosiraceae;2.0;0.15350761287970816;0.01654886327544655;0.1700564761551547
