;0.0;0.2;0.3;0.5;0.6;0.8
cn_edges;976.0;618.0;340.0;212.0;152.0;77.0
cn_modularity;0.52;0.66;0.69;0.7;0.68;0.67
cn_cc;0.16;0.16;0.09;0.06;0.07;0.03
cn_lcc;297.0;282.0;163.0;110.0;40.0;26.0
cn_distinct_comms;3.0;4.0;3.0;6.0;6.0;3.0
cn_mixed_comms;3.0;4.0;2.0;0.0;0.0;0.0
cn_pos_linkage;0.07142857142857142;0.06157635467980296;0.07971014492753623;0.07246376811594203;0.07509881422924901;0.12087912087912088
cn_neg_linkage;0.06493506493506493;0.0380952380952381;0.09090909090909091;0.1111111111111111;0.2;0.3333333333333333
cn_mix_linkage;0.008620689655172414;0.007389162561576354;0.00946969696969697;0.004629629629629629;0.0;0.0
ht_edges;976.0;606.0;339.0;208.0;151.0;75.0
ht_modularity;0.52;0.65;0.82;0.9;0.95;0.97
ht_cc;0.16;0.11;0.06;0.0;0.0;0.0
ht_lcc;297.0;295.0;273.0;81.0;29.0;8.0
ht_distinct_comms;3.0;4.0;7.0;6.0;4.0;2.0
ht_mixed_comms;3.0;6.0;3.0;1.0;1.0;0.0
ht_pos_linkage;0.07142857142857142;0.05172413793103448;0.03439153439153439;0.03985507246376811;0.04093567251461988;0.07272727272727272
ht_neg_linkage;0.06493506493506493;0.04329004329004329;0.02857142857142857;0.03333333333333333;0.045454545454545456;0.044444444444444446
ht_mix_linkage;0.008620689655172414;0.0;0.0;0.0;0.0;0.0
