,family,taxonomic_group,trophic_level
0,Bracteacoccaceae,chlorophytes,1
1,Chlamydomonadaceae,chlorophytes,1
2,Dunaliellaceae,chlorophytes,1
3,Haematococcaceae,chlorophytes,1
4,Hydrodictyaceae,chlorophytes,1
5,Oedogoniaceae,chlorophytes,1
6,Scenedesmaceae,chlorophytes,1
7,Selenastraceae,chlorophytes,1
8,Chloropicaceae,chlorophytes,1
9,Bathycoccaceae,chlorophytes,1
10,Crustomastigaceae,chlorophytes,1
11,Mamiellaceae,chlorophytes,1
12,Nephroselmidaceae,chlorophytes,1
13,Prasinococcaceae,chlorophytes,1
14,Picocystaceae,chlorophytes,1
15,Pleurastraceae,chlorophytes,1
16,Pycnococcaceae,chlorophytes,1
17,Pyramimonadaceae,chlorophytes,1
18,Chlorellaceae,chlorophytes,1
19,Koliellaceae,chlorophytes,1
20,Oocystaceae,chlorophytes,1
21,Prasiolaceae,chlorophytes,1
22,Trebouxiaceae,chlorophytes,1
23,Bolbocoleonaceae,chlorophytes,1
24,Bryopsidaceae,chlorophytes,1
25,Chlorocystidaceae,chlorophytes,1
26,Oltmannsiellopsidaceae,chlorophytes,1
27,Calanidae,crustaceous zooplankton,2
28,Eucalanidae,crustaceous zooplankton,2
29,Metridinidae,crustaceous zooplankton,2
30,Temoridae,crustaceous zooplankton,2
31,Euphausiidae,crustaceous zooplankton,2
32,Alepocephalidae,fish/nekton,3
33,Apogonidae,fish/nekton,3
34,Bathylagidae,fish/nekton,3
35,Ceratiidae,fish/nekton,3
36,Clupeidae,fish/nekton,3
37,Cyclopteridae,fish/nekton,3
38,Cyprinidae,fish/nekton,3
39,Echeneidae,fish/nekton,3
40,Gasterosteidae,fish/nekton,3
41,Gobiidae,fish/nekton,3
42,Gonostomatidae,fish/nekton,3
43,Lateolabracidae,fish/nekton,3
44,Microstomatidae,fish/nekton,3
45,Myctophidae,fish/nekton,3
46,Osmeridae,fish/nekton,3
47,Salmonidae,fish/nekton,3
48,Rhincodontidae,fish/nekton,3
49,Petromyzontidae,fish/nekton,3
50,Loliginidae,fish/nekton,3
51,Oikopleuridae,gelatinous zooplankton,2
52,Salpidae,gelatinous zooplankton,2
53,Eirenidae,gelatinous zooplankton,2
54,Cyaneidae,gelatinous zooplankton,2
55,Pelagiidae,gelatinous zooplankton,2
56,Ulmaridae,gelatinous zooplankton,2
57,Apusomonadidae,heterotrophic protists,2
58,Paulinellidae,heterotrophic protists,2
59,Thaumatomastigidae,heterotrophic protists,2
60,Fonticulaceae,heterotrophic protists,2
61,Metopidae,heterotrophic protists,2
62,Parameciidae,heterotrophic protists,2
63,Tetrahymenidae,heterotrophic protists,2
64,Euplotidae,heterotrophic protists,2
65,Oxytrichidae,heterotrophic protists,2
66,Chroomonadaceae,heterotrophic protists,2
67,Geminigeraceae,heterotrophic protists,2
68,Hemiselmidaceae,heterotrophic protists,2
69,Diplonemidae,heterotrophic protists,2
70,Euglenaceae,heterotrophic protists,2
71,Phacaceae,heterotrophic protists,2
72,Globorotaliidae,heterotrophic protists,2
73,Rotaliidae,heterotrophic protists,2
74,Sticholonchidae,heterotrophic protists,2
75,Histionidae,heterotrophic protists,2
76,Jakobidae,heterotrophic protists,2
77,Hexamitidae,heterotrophic protists,2
78,Perkinsidae,heterotrophic protists,2
79,Vahlkampfiidae,heterotrophic protists,2
80,Sphaerozoidae,heterotrophic protists,2
81,Hypotrichomonadidae,heterotrophic protists,2
82,Salpingoecidae,heterotrophic protists,2
83,Collosphaeridae,heterotrophic protists,2
84,Balaenopteridae,mammals,4
85,Delphinidae,mammals,4
86,Monodontidae,mammals,4
87,Mustelidae,mammals,4
88,Odobenidae,mammals,4
89,Otariidae,mammals,4
90,Phocidae,mammals,4
91,Phocoenidae,mammals,4
92,Physeteridae,mammals,4
93,Chlorobiaceae,phototrophic bacteria,1
94,Chloroflexaceae,phototrophic bacteria,1
95,Roseiflexaceae,phototrophic bacteria,1
96,Acaryochloridaceae,phototrophic bacteria,1
97,Aphanizomenonaceae,phototrophic bacteria,1
98,Aphanothecaceae,phototrophic bacteria,1
99,Calotrichaceae,phototrophic bacteria,1
100,Chamaesiphonaceae,phototrophic bacteria,1
101,Chroococcaceae,phototrophic bacteria,1
102,Chroococcidiopsidaceae,phototrophic bacteria,1
103,Coleofasciculaceae,phototrophic bacteria,1
104,Cyanothecaceae,phototrophic bacteria,1
105,Dermocarpellaceae,phototrophic bacteria,1
106,Gloeobacteraceae,phototrophic bacteria,1
107,Gloeomargaritaceae,phototrophic bacteria,1
108,Gomontiellaceae,phototrophic bacteria,1
109,Hapalosiphonaceae,phototrophic bacteria,1
110,Leptolyngbyaceae,phototrophic bacteria,1
111,Merismopediaceae,phototrophic bacteria,1
112,Microcoleaceae,phototrophic bacteria,1
113,Nostocaceae,phototrophic bacteria,1
114,Oscillatoriaceae,phototrophic bacteria,1
115,Prochloraceae,phototrophic bacteria,1
116,Prochlorotrichaceae,phototrophic bacteria,1
117,Pseudanabaenaceae,phototrophic bacteria,1
118,Rivulariaceae,phototrophic bacteria,1
119,Scytonemataceae,phototrophic bacteria,1
120,Synechococcaceae,phototrophic bacteria,1
121,Hyellaceae,phototrophic bacteria,1
122,Heliobacteriaceae,phototrophic bacteria,1
123,Thraustochytriaceae,phototrophic protists,1
124,Noelaerhabdaceae,phototrophic protists,1
125,Amoebophryaceae,phototrophic protists,1
126,Gonyaulacaceae,phototrophic protists,1
127,Gymnodiniaceae,phototrophic protists,1
128,Heterocapsaceae,phototrophic protists,1
129,Kareniaceae,phototrophic protists,1
130,Kryptoperidiniaceae,phototrophic protists,1
131,Pfiesteriaceae,phototrophic protists,1
132,Prorocentraceae,phototrophic protists,1
133,Protoperidiniaceae,phototrophic protists,1
134,Suessiaceae,phototrophic protists,1
135,Syndiniaceae,phototrophic protists,1
136,Acanthocerataceae,phototrophic protists,1
137,Amphipleuraceae,phototrophic protists,1
138,Anaulaceae,phototrophic protists,1
